file	date	Label	ID_TUBE	Treatment	Landscape	Replicate	Size	Composition	indiv_per_frame	indiv_per_ul	bioarea_per_frame	bioarea_per_ul	major_mean	major_sd	minor_mean	minor_sd	gross_speed_mean	gross_speed_sd	net_speed_mean	net_speed_sd	sd_turning_mean	Rot	Spi	Ble	Pca	Col	Chi	Tet	Other
sample_00265	5/9/2016	265	265bB	Isolated	Blue	B	7.5	mixture	56.936	1.655116279	22040.8128	640.7213023	45.92201235	44.48816225	24.19611141	12.67633679	191.0964459	112.3918715	83.56764331	124.2623333	0.597197452	0.235116279	0.065348837	0.041860465	0.124883721	0.026976744	1.045581395	0.115348837	0
sample_00266	5/9/2016	266	266bB	Isolated	Blue	B	13	mixture	44.624	1.297209302	28368.954	824.6788953	72.57161422	50.37065727	33.1458237	15.19757102	216.5994788	169.257605	151.0675532	167.1279455	0.565531915	0.443255814	0.055813953	0.133488372	0.142093023	0.028139535	0.460232558	0.030697674	0.003488372
sample_00267	5/9/2016	267	267bB	Isolated	Blue	B	13	mixture	53.312	1.549767442	39868.038	1158.954593	70.80391235	63.90205893	28.89445076	13.96006955	178.0057694	100.1302936	108.4269643	119.9339989	0.73	0.626744186	0.15744186	0.218372093	0.030930233	0.059302326	0.391395349	0.004418605	0.061162791
sample_00268	5/9/2016	268	268bB	Isolated	Blue	B	13	mixture	31.792	0.924186047	23532.3468	684.0798488	69.64393053	68.70576694	29.66746424	15.4253847	241.653492	220.2556756	157.5537778	224.9030824	0.678666667	0.23	0.113023256	0.132093023	0.093023256	0.028837209	0.314418605	0.009069767	0.00372093
sample_00269	5/9/2016	269	269bB	Isolated	Blue	B	7.5	mixture	36.952	1.074186047	31540.6872	916.8804419	88.13875681	60.97819275	37.42055133	13.44799094	229.639681	126.8107508	167.0296203	143.6348288	0.534556962	0.506744186	0.068604651	0.061395349	0.13744186	0.144883721	0.108372093	0.029069767	0.017674419
sample_00270	5/9/2016	270	270bB	Isolated	Blue	B	13	mixture	39.112	1.136976744	30694.4964	892.2818721	79.14299151	59.58119178	33.23631354	14.54920766	213.7428513	127.0264587	146.0773864	137.1851609	0.554090909	0.553953488	0.080930233	0.036744186	0.143023256	0.046511628	0.256046512	0.019767442	0
sample_00271	5/9/2016	271	271bB	Isolated	Blue	B	7.5	mixture	45.664	1.32744186	25067.394	728.703314	59.84086606	43.54030418	28.45492338	14.49295759	196.0256453	140.5616629	128.1957692	144.6930572	0.652884615	0.383488372	0.019302326	0.174651163	0.115813953	0.078372093	0.516046512	0.033488372	0.00627907
sample_00272	5/9/2016	272	272bB	Isolated	Blue	B	13	mixture	42.2	1.226744186	33045.8616	960.6355116	78.17365004	62.79932179	31.48150502	13.98765923	201.5755467	104.3982219	126.512907	122.2819603	0.624883721	0.521627907	0.095116279	0.138604651	0.056744186	0.11627907	0.197209302	0.093953488	0.007209302
sample_00273	5/9/2016	273	273bB	Isolated	Blue	B	22.5	mixture	43.52	1.265116279	29578.3812	859.8366628	67.57730432	47.59801699	32.10391422	15.1480215	182.0208104	116.8335095	98.78382022	118.7641626	0.80258427	0.635581395	0.043255814	0.20255814	0.07372093	0.027209302	0.275581395	0	0.007209302
sample_00274	5/9/2016	274	274bB	Isolated	Blue	B	22.5	mixture	45.208	1.314186047	31830.9912	925.3195116	63.38118006	58.50792039	28.99756786	16.85708421	185.3052042	130.4201617	110.7873267	139.835964	0.778316832	0.458604651	0.135116279	0.130465116	0.060232558	0.07255814	0.454651163	0	0.00255814
sample_00275	5/9/2016	275	275bB	Isolated	Blue	B	22.5	mixture	55.008	1.599069767	43866.2304	1275.181116	78.58157867	50.27532651	34.31067047	17.02435463	209.6119735	147.152142	141.7886607	155.2446902	0.580625	0.733023256	0.103255814	0.234186047	0.161395349	0.041395349	0.299767442	0.003953488	0.022093023
sample_00276	5/9/2016	276	276bB	Isolated	Blue	B	7.5	mixture	44.032	1.28	29322.6804	852.4035	64.85680371	50.9599959	29.32710776	14.88097009	218.5406401	170.4636761	142.3050962	183.2546849	0.634423077	0.443488372	0.111860465	0.09744186	0.094186047	0.139069767	0.390465116	0.003488372	0
sample_00277	5/9/2016	277	277bB	Isolated	Blue	B	7.5	mixture	49.568	1.440930233	27589.248	802.0130233	54.34379939	42.72047855	27.85021363	14.62310266	194.9515824	149.2023236	116.3921311	166.0026669	0.64795082	0.446046512	0.043023256	0.118837209	0.07627907	0.085116279	0.631395349	0.018139535	0.022093023
sample_00278	5/9/2016	278	278bB	Isolated	Blue	B	7.5	mixture	39.928	1.160697674	29142.342	847.1611047	64.08472569	48.08995325	29.13335838	15.67315794	209.4540752	149.8061533	117.9773077	164.0729182	0.785	0.46372093	0.06744186	0.182325581	0.128837209	0.035581395	0.282790698	0	0
sample_00279	5/9/2016	279	279bB	Isolated	Blue	B	7.5	mixture	44.496	1.293488372	26505.8892	770.5200349	59.78244707	53.19776124	28.95947461	16.07885281	215.0250034	158.7712559	108.325045	162.2314183	0.605765766	0.383023256	0.047209302	0.092093023	0.099767442	0.097674419	0.559767442	0	0.013953488
sample_00280	5/9/2016	280	280bB	Isolated	Blue	B	13	mixture	43.192	1.255581395	29985.6816	871.6767907	65.38494003	52.29741921	28.94555943	14.89397711	194.3630678	122.4226172	103.5885	134.3479649	0.6569	0.505348837	0.083023256	0.138604651	0.060465116	0.07744186	0.380930233	0	0.009767442
sample_00281	5/9/2016	281	281bB	Isolated	Blue	B	45	mixture	45.584	1.325116279	33218.6184	965.6575116	72.35366779	54.09888027	31.4760383	16.70296966	233.087367	166.9840258	146.1735897	182.1343314	0.635128205	0.629767442	0.066976744	0.120697674	0.136744186	0.024651163	0.310697674	0.024186047	0.011395349
sample_00282	5/9/2016	282	282bB	Isolated	Blue	B	22.5	mixture	69.92	2.03255814	59269.9356	1722.963244	77.65219925	60.3566868	31.48195119	16.34426699	212.5211558	149.7472255	147.6147727	166.1192629	0.556742424	0.804883721	0.184651163	0.32	0.139534884	0.044418605	0.52744186	0.011627907	0
sample_00283	5/9/2016	283	283bB	Isolated	Blue	B	7.5	mixture	51.576	1.499302326	32614.4232	948.0936977	62.09670236	46.66363375	30.03193165	16.270808	204.3371669	166.7300169	123.7894167	176.1445958	0.685166667	0.499069767	0.080697674	0.10372093	0.139767442	0.048372093	0.550930233	0.057209302	0.019534884
sample_00284	5/9/2016	284	284bB	Isolated	Blue	B	13	mixture	43.992	1.278837209	28919.8836	840.6942907	61.57699663	51.17642671	27.95541014	14.57119998	183.2325503	145.780436	105.9122472	156.8719786	0.679662921	0.548604651	0.108139535	0.145348837	0.045348837	0.024651163	0.378372093	0.024883721	0.003488372
sample_00285	5/9/2016	285	285bB	Isolated	Blue	B	13	mixture	48.096	1.398139535	40005.2844	1162.944314	74.89763075	75.11553912	28.75163837	16.55328764	229.7420364	190.9881958	139.5694643	186.7467303	0.648839286	0.522325581	0.206744186	0.058139535	0.140465116	0.01255814	0.447906977	0	0.01
sample_00286	5/9/2016	286	286bB	Isolated	Blue	B	7.5	mixture	48.736	1.416744186	31963.0536	929.1585349	62.50591285	53.58503735	28.37906354	15.38711999	211.5056592	139.7105807	112.7578512	138.0931137	0.559421488	0.559767442	0.075348837	0.094651163	0.125116279	0.01744186	0.525813953	0.018604651	0
sample_00287	5/9/2016	287	287bB	Isolated	Blue	B	7.5	mixture	45.632	1.326511628	39891.4956	1159.6365	82.54892467	72.17069297	32.46903644	15.57668284	226.7047842	161.8279095	144.7759615	174.4760574	0.644519231	0.610232558	0.175348837	0.163953488	0.054651163	0.093488372	0.226046512	0.002790698	0
sample_00288	5/9/2016	288	288bB	Isolated	Blue	B	45	mixture	46.48	1.351162791	35863.722	1042.550058	71.96754888	61.52263423	30.04938171	17.63489005	197.8572035	107.6178398	121.1755556	125.0383516	0.626161616	0.499534884	0.072790698	0.259069767	0.099767442	0	0.416046512	0.003953488	0
sample_00289	5/9/2016	289	289bC	Isolated	Blue	C	7.5	mixture	60.552	1.760232558	25057.7712	728.4235814	48.66036187	39.16899254	25.62625411	11.70977261	159.7733032	95.69743056	72.47490446	107.0417685	0.753757962	0.485348837	0.094883721	0.052325581	0.074883721	0	0.995581395	0.029069767	0.028139535
sample_00290	5/9/2016	290	290bC	Isolated	Blue	C	7.5	mixture	59.816	1.738837209	29525.8932	858.3108488	50.12648238	41.40406693	26.7495583	11.38889435	176.9629699	121.6646481	86.806	139.4635956	0.646545455	0.488372093	0.086744186	0.029069767	0.123953488	0.031162791	0.889534884	0.09	0
sample_00291	5/9/2016	291	291bC	Isolated	Blue	C	7.5	mixture	71.808	2.08744186	45287.1972	1316.488291	61.12525302	62.15510057	28.30346499	14.30327163	213.5262025	167.1396717	119.9525	175.200322	0.709333333	0.411860465	0.190930233	0.139767442	0.171627907	0.057674419	1.00627907	0.099767442	0.009534884
sample_00292	5/9/2016	292	292bC	Isolated	Blue	C	7.5	mixture	54.216	1.576046512	22372.0704	650.3508837	43.27668003	34.46771377	25.134299	10.35870925	165.0886559	100.1721442	75.79387755	119.8284909	0.689319728	0.31744186	0.037674419	0.121627907	0.004418605	0.045813953	0.964186047	0.084883721	0
sample_00293	5/9/2016	293	293bC	Isolated	Blue	C	7.5	mixture	51.304	1.491395349	29901.2148	869.2213605	58.38265973	54.6677709	29.06959041	13.89857204	184.6123415	134.826266	93.55207143	144.3001324	0.693214286	0.209302326	0.106744186	0.204651163	0.073255814	0.003023256	0.768372093	0.126046512	0
